date,name,age,notes,country
2020-03-27,Daniel Azulay,72,Comic book artist,Brazil (Rio de Janeiro)
2020-03-27,Jesús Gayoso Rey,48,Civil Guard Lieutenant colonel and head of GAR,Spain (Logroño)
2020-03-27,Orlando McDaniel,59,American football player,United States (Dallas)
2020-03-27,Michael McKinnell,84,Architect,United States (Rockport)
2020-03-28,Kerstin Behrendtz,69,Radio broadcaster,Sweden (Stockholm)
2020-03-28,Chato Galante,71,Activist and former political prisoner,Spain
2020-03-28,Rodolfo González Rissotto,70,Politician,Uruguay (Montevideo)
2020-03-28,William B. Helmreich,74,"Sociologist, professor",United States (Great Neck)
2020-03-28,Pearson Jordan,69,"Sprinter, represented Barbados at the 1976 Summer Olympics ",United States
2020-03-28,Azam Khan,93,Pakistani-born squash player,United Kingdom (London)
2020-03-28,Michel Tibon-Cornillot,97,Philosopher and anthropologist,France (Paris)
2020-03-28,William Wolf,94,Film and theater critic,United States
2020-03-28,Fevzi Aksoy,89,"Academic, neurologist and sports writer",Turkey
2020-03-29,Peg Broadbent,56,British-born CFO of Jefferies Group,United States (New York)
2020-03-29,José Luis Capón,72,Football player,Spain (Madrid)
2020-03-29,Patrick Devedjian,75,"President of Hauts-de-Seine, former government minister",France (Paris)
2020-03-29,Joe Diffie,61,Country singer,United States (Nashville)
2020-03-29,Robert H. Garff,78,Businessman and former Speaker of the Utah House of Representatives,United States (Salt Lake City)
2020-03-29,Maria Mercader,54,Television news producer and journalist,United States (New York)
2020-03-29,Alan Merrill,69,Lead singer of Arrows and songwriter,United States (New York)
2020-03-29,Francis Rapp,93,Medievalist historian,France (Angers)
2020-03-29,Angelo Rottoli,61,Boxer,Italy (Ponte San Pietro)
2020-03-29,Henri Tincq,74,Journalist,France (Paris)
2020-03-30,Lorena Borjas,59,Mexican American transgender and immigrant rights activist,United States (New York)
2020-03-30,Hilary Dwyer,74,Actress,United Kingdom
2020-03-30,James T. Goodrich,73,Neurosurgeon,United States (New York)
2020-03-30,David Hodgkiss,71,Chairman of Lancashire County Cricket Club,United Kingdom
2020-03-30,Milutin Knežević,71,"Serbian Orthodox bishop, Eparch of Valjevo",Serbia (Belgrade)
2020-03-30,Manuel Adolfo Varas,76,"Ecuadorian broadcaster, sports journalist and lawyer",Ecuador (Guayaquil)
2020-03-31,Cristina Monet-Palaci,64,Musician,United States
2020-04-07,Jan Křen,89,"Historian, academic and dissident",Czech Republic (Prague)
2020-04-07,Yaakov Perlow,89,Hasidic rabbi,United States (New York)
2020-04-07,John Prine,73,Singer and songwriter,United States (Nashville)
2020-04-07,Nipper Read,95,Police officer and boxing administrator,
2020-04-07,Donato Sabia,56,Middle-distance runner,Italy (Potenza)
2020-04-07,Miguel Ángel Tábet,78,Venezuelan theologian and exegete,Italy (Rome)
2020-04-07,Hal Willner,64,Music producer,United States (New York)
2020-03-23,William Stern,84,"Hungarian-born businessman, survivor of the Bergen-Belsen concentration camp",United Kingdom
2020-01-25,Liang Wudong,60,"Doctor, first death due to hospital-acquired infection",China (Wuhan)
2020-01-26,Wang Xianliang,62,Former chief of Ethnic and Religious Affairs Commission of Wuhan,China (Wuhan)
2020-01-27,Yang Xiaobo,57,Former mayor of Huangshi,China (Wuhan)
